id;filepath;title;source_url;license;format;domain;release_date;filesize_kb;checksum;notes
dataset_01;/data/raw/wahl_20241003_214746.csv;2024 Austrian legislative election;https://www.data.gv.at/datasets/e40e3b00-1a98-4338-acb7-42547e6fee55?locale=de;CC BY 4.0;csv;Politics;9/23/24;181;8fe77d6204ec17fc9eab12f176322bee7fb490279ac4adc7de6548195987493b;
dataset_02;/data/raw/kerg.csv;2025 German federal election;https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse/opendata/btw25/csv/kerg.csv;DL-DE->BY-2.0;csv;Politics;3/14/25;163;f6f9e87792fe01474cff516c87b86e57d8522b1047289c32ded4a56acacf6c3a;
dataset_03;/data/raw/era1000.csv;Polkadot Election;https://github.com/n-boehmer/ABC-practice-Polkadot/blob/main/pol_elections/era1000.txt;MIT;csv;Blockchain;12/16/23;4253;4a739451be382f277e0a20325124ce1c1e0c46ebc0140b4c9fd4d7dbaead6596;
dataset_04;/data/raw/eurovision.csv;Eurovision Voting;https://github.com/Spijkervet/eurovision-dataset/releases;freely available with citation, no license specified;csv;Music;11/9/23;2245;3b8cc72b81a63ea63788b711248b5f23544b6e3778d8a3a4e976309c69adedf7;
dataset_05;/data/raw/eidgAbstimmung.json;Swiss Referendum;https://ogd-static.voteinfo-app.ch/v1/ogd/sd-t-17-02-20250928-eidgAbstimmung.json;Open use. Must provide the source. Use for commercial purposes requires permission of the data owner.;json;Politics;10/23/25;2012;9a8d4678917ff35eb7612034bc055d27c1e81ced65f5b5e09d1e0abb1b4b41cb;
dataset_06;/data/raw/00047-00000001.soi;Spotify Daily Chart;https://preflib.github.io/PrefLib-Jekyll/dataset/00047;;soi;Music;9/25/22;151;965bd82ff6d1cb85cc1ebb05c4b1ef0513d100e68d0383966725a92d5111c552;
dataset_07;restricted;Sushi Preferences;https://www.kamishima.net/sushi/;individual;custom text;Food;12/29/15;125;c56da325c0f58f9a38bafc650ed699b48dd2fb9f6ad64ba61ffc288d1ae4cc24;
dataset_08;/data/raw/Student_Behavior.csv;Student Preferences;https://www.opendatabay.com/data/science-research/7bc80540-5848-4ab1-943e-54175219f991;CC0 Public Domain;csv;Education;2/8/25;28;8bbd3cfb11f6c00d11771c6184a98c1f7e5586e5160e8b43a1578a44b971c288;
dataset_09;restricted;AI Output Preferences;https://huggingface.co/datasets/Dahoas/instruct_helpful_preferences;not specified;parquet;AI;3/1/23;9900;29225224d8d014ccd936861d9d59269f19676af8b294521b68de2b89dc8b03da;
dataset_10;/data/raw/HelpSteer3.jsonl;NVIDIA HelpSteer;https://huggingface.co/datasets/nvidia/HelpSteer3;CC BY 4.0;jsonl;AI;3/18/25;117;fd98324854d6b76a7b0487d2217f34089c52d84a083b8175d336e768dd4c58de;
