source_file,folder,attribute_raw,datatype,definition,example_values,Possible top level concept
dataset_01,raw,Gebietsname,str,geographical area in which a vote was cast,Burgenland,"agent, context, region"
,,Wahlberechtigte,int,number of eligible voters,233738,agent
,,Abgegebene,int,number of cast  votes,192899,agent
,,Ungültige,int,number of invalid votes,2800,agent
,,Gültige,int,number of valid votes,190099,agent
,,ÖVP,int,candidate's votes received,54287,option
,,SPÖ,int,candidate's votes received,51374,option
,,FPÖ,int,candidate's votes received,54718,option
,,GRÜNE,int,candidate's votes received,8926,option
,,NEOS,int,candidate's votes received,12300,option
,,BIER,int,candidate's votes received,3817,option
,,MFG,int,candidate's votes received,19785,option
,,BGE,int,candidate's votes received,156,option
,,LMP,int,candidate's votes received,858,option
,,GAZA,int,candidate's votes received,344,option
,,KPÖ,int,candidate's votes received,2425,option
,,KEINE,int,candidate's votes received,894,option
,,,,,,
dataset_02,raw,Nr,int,non-unique region numbers,11,"agent, context, region"
,,Gebiet,str,geographical area in which a vote was cast,Kiel,"agent, context, region"
,,gehört zu,int,links the region name to the state it is in,1,"agent, context, region"
,,Gewählt,str,name of the winning candidate in the respective region,Christlich Demokratische Union Deutschlands,option
,,Wahlberechtigte,int,number of eligible voters,232131,agent
,,Wählende,int,number of votes cast,192882,agent
,,Ungültige,int,number of invalid votes,1097,agent
,,Gültige Stimmen,int,number of valid votes,191785,agent
,,Sozialdemokratische Partei Deutschlands,int,candidate's votes received,30702,option
,,Christlich Demokratische Union Deutschlands,int,candidate's votes received,50887,option
,,BÜNDNIS 90/DIE GRÜNEN,int,candidate's votes received,43298,option
,,Freie Demokratische Partei,int,candidate's votes received,5750,option
,,Alternative für Deutschland,int,candidate's votes received,24474,option
,,,,,,
dataset_03,raw,,int,number for each blockchain participant,1,option
,,,str,"""hash"" for each participant",111B8CxcmnWbuDLyGvgUmRezDCK1brRZmvUuQ6SrFdMyc3S,NA
,,,int,weight,"""50377800000000""",NA
,,,int,"list of all ""voter_id""s approved",869,option
,,,,,,
dataset_04,raw,year,int,year of the row entry,1956,context
,,to_country_id,str,country id,ch,agent
,,to_country,str,country name,Switzerland,agent
,,performer,str,name of the artist,Lys Assia,agent
,,song,str,name of the song,Refrain,agent
,,place_contest,int,overall placement,2,NA
,,sf_num,int,,,NA
,,running_final,int,,,NA
,,running_sf,int,,,NA
,,place_final,int,placement in the final,2,"option, entry"
,,points_final,int,points reached in the final,31,"option, entry"
,,place_sf,int,,,"option, entry"
,,points_tele_final,int,,,"option, entry"
,,points_jury_final,int,,,"option, entry"
,,points_tele_sf,int,,,"option, entry"
,,points_jury_sf,int,,,"option, entry"
,,composers,str or list of strings,names of composeres,Georg Benz Stahl,NA
,,lyricist,str or list of strings,name of lyricist,David Bee,NA
,,lyrics,str,lyrics of the song,Voorgoed voorbij\n [...],NA
,,youtube_url,str,link to youtube video,https://youtube.com/watch?v=IyqIPvOkiRk,NA
,,,,,,
dataset_05,raw,abstimmtag,int,date in YYYYMMDD format,20250928,NA
,,timestamp,,release date and time,2025-10-14T13:29:02,NA
,,vorlagenID,int,ID of the proposal,6780,context
,,vorlagenTitel,str,name of the proposal,Bundesbeschluss über die kantonalen Liegenschaftssteuern auf Zweitliegenschaften,context
,,jaStimmenInProzent,float,"total ""yes"" votes in percent",57.72632592,"option, entry"
,,jaStimmenAbsolut,int,"total ""yes"" votes",1579379,"option, entry"
,,neinStimmenAbsolut,int,"toal ""no"" votes",1156598,"option, entry"
,,stimmbeteiligungInProzent,float,turnout in percent,49.5300369,"option, entry"
,,eingelegteStimmzettel,int,number of total votes cast,2794135,agent
,,anzahlStimmberechtigte,int,number of eligible voters,5641294,agent
,,gueltigeStimmen,int,number of valid votes,2735977,agent
,,,,,,
dataset_06,raw,ALTERNATIVE NAME,str,local identifier for alternatives,4aiLpwwZw5Ek9KkBMnt6Zu,option
,,row,int,multiplicity of a ranking,1,agent
,,ranking,sequence of int,complete ranking,"617 , 612","option, entry"
,,,,,,
dataset_07,restricted,number_candidates,int,total number of candidates available,10,option
,,ranking,str,ranking of candidates,5 0 3 4 6 9 8 1 7 2,"ballot, entry"
,,,,,,
dataset_08,raw,prefer to study in,str,preferred time of day to study,Morning,"option, entry"
,,daily studing time,str,categories of daily study time,30 - 60 minutes,"option, entry"
,,salary expectation,int,expected salary,40000,"option, entry"
,,Do you like your degree?,str,answer,No,"option, entry"
,,willingness to pursue a career based on their degree  ,,in percent,50%,"option, entry"
,,,,,,
dataset_09,restricted,prompt,str,prompt that was sent to AI,Human: What are the health benefits of eating dried figs […],context
,,chosen,str,chosen response,Dried figs are packed with [...],"option, entry"
,,rejected,str,rejected response,Dried figs are a good source [...],"option, entry"
,,,,,,
dataset_10,raw,context,str,context information such as input prompt,lets do python coding,context
,,response1,str,first response of the AI,You're on the right track! Here's a Python function [...],option
,,response2,str,second response of the AI,"Sure, I can help you with that. Here's a Python [...]",option
,,overall_preference,int,preference of first response over second response,,"option, entry"
,,reasoning,str,explanation for overall_preference,,"option, entry"
